timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1782664833402,313,Cart Request,201,Created,Shopping 4-6,text,true,,1305,310,3,6,https://dummyjson.com/carts/add,313,0,0
1782664833604,140,Login Request,200,OK,Login Users 1-10,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,140,0,0
1782664833688,95,Products Request,200,OK,Products 2-11,text,true,,45092,181,1,7,https://dummyjson.com/products,79,0,0
1782664833421,405,Login Request,200,OK,Login Users 1-11,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,404,0,272
1782664833783,98,Products Request,200,OK,Products 2-11,text,true,,45108,181,1,7,https://dummyjson.com/products,81,0,0
1782664833744,137,Login Request,200,OK,Login Users 1-10,text,true,,5249,259,2,7,https://quickpizza.grafana.com/login,137,0,0
1782664833826,132,Login Request,200,OK,Login Users 1-11,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,132,0,0
1782664833650,311,Login Request,200,OK,Shopping 4-7,text,true,,2818,292,4,8,https://dummyjson.com/auth/login,311,0,0
1782664833881,96,Products Request,200,OK,Products 2-11,text,true,,45102,181,2,8,https://dummyjson.com/products,81,0,0
1782664833672,314,Cart Request,201,Created,Shopping 4-8,text,true,,1307,310,4,8,https://dummyjson.com/carts/add,314,0,0
1782664833715,319,Checkout Request,200,OK,Shopping 4-6,text,true,,2026,218,4,8,https://dummyjson.com/carts/user/1,319,0,0
1782664833961,96,Products Request,200,OK,Shopping 4-7,text,true,,45096,565,3,7,https://dummyjson.com/products,79,0,0
1782664833977,98,Products Request,200,OK,Products 2-11,text,true,,45094,181,2,7,https://dummyjson.com/products,82,0,0
1782664833958,134,Login Request,200,OK,Login Users 1-11,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,134,0,0
1782664833933,270,Products Request,200,OK,Products 2-12,text,true,,45104,181,1,6,https://dummyjson.com/products,257,0,166
1782664834092,135,Login Request,200,OK,Login Users 1-11,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,134,0,0
1782664833776,492,Login Request,200,OK,Shopping 4-9,text,true,,2816,290,3,6,https://dummyjson.com/auth/login,492,0,177
1782664833986,315,Checkout Request,200,OK,Shopping 4-8,text,true,,2018,218,3,6,https://dummyjson.com/carts/user/1,313,0,0
1782664834203,99,Products Request,200,OK,Products 2-12,text,true,,45100,181,1,6,https://dummyjson.com/products,85,0,0
1782664833921,411,Login Request,200,OK,Login Users 1-12,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,411,0,277
1782664834227,134,Login Request,200,OK,Login Users 1-11,text,true,,5249,259,2,6,https://quickpizza.grafana.com/login,134,0,0
1782664834268,101,Products Request,200,OK,Shopping 4-9,text,true,,45096,565,3,5,https://dummyjson.com/products,84,0,0
1782664834058,316,Cart Request,201,Created,Shopping 4-7,text,true,,1307,310,3,5,https://dummyjson.com/carts/add,316,0,0
1782664834302,99,Products Request,200,OK,Products 2-12,text,true,,45104,181,1,5,https://dummyjson.com/products,84,0,0
1782664834332,135,Login Request,200,OK,Login Users 1-12,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,135,0,0
1782664834402,97,Products Request,200,OK,Products 2-12,text,true,,45092,181,2,8,https://dummyjson.com/products,83,0,0
1782664834467,134,Login Request,200,OK,Login Users 1-12,text,true,,5249,259,2,8,https://quickpizza.grafana.com/login,134,0,0
1782664834500,102,Products Request,200,OK,Products 2-12,text,true,,45102,181,2,8,https://dummyjson.com/products,87,0,0
1782664834301,315,Login Request,200,OK,Shopping 4-8,text,true,,2816,292,4,7,https://dummyjson.com/auth/login,315,0,0
1782664834369,314,Cart Request,201,Created,Shopping 4-9,text,true,,1311,310,4,7,https://dummyjson.com/carts/add,314,0,0
1782664834374,316,Checkout Request,200,OK,Shopping 4-7,text,true,,2026,218,4,7,https://dummyjson.com/carts/user/1,316,0,0
